Time,Open,High,Low,Last,Change,Chg,Volume
09/10/2021,29.04,29.18,28.58,28.75,-0.75,-2.54,733056
09/09/2021,28.62,29.6,28.4215,29.5,1.01,+3.55,1360800
09/08/2021,28.33,28.62,28.17,28.49,0.57,+2.04,964600
09/07/2021,28.1,28.2483,27.76,27.92,-0.75,-2.62,1390900
09/03/2021,28.69,28.82,28.5,28.67,-0.76,-2.58,884300
09/02/2021,29.28,29.445,28.98,29.43,0.38,+1.31,898600
09/01/2021,29.26,29.34,28.81,29.05,0.09,+0.31,1255100
08/31/2021,29.41,29.66,28.7399,28.96,-0.55,-1.86,1762400
08/30/2021,29.06,29.55,28.9887,29.51,0.26,+0.89,1141900
08/27/2021,28.76,29.31,28.64,29.25,0.48,+1.67,1744200
08/26/2021,28.41,28.77,28.16,28.77,0.3,+1.05,3203300
08/25/2021,29.17,29.26,28.205,28.47,-0.77,-2.63,1204600
08/24/2021,29.51,29.68,29.22,29.24,-0.65,-2.17,1227000
08/23/2021,29.78,29.9387,29.6,29.89,-0.09,-0.30,1095000
08/20/2021,29.99,30.13,29.713,29.98,0.05,+0.17,1384500
08/19/2021,29.84,29.93,29.5475,29.93,0.64,+2.19,2246100
08/18/2021,28.91,29.34,28.7486,29.29,0.29,+1.00,2033400
08/17/2021,28.99,29.3439,28.872,29,0.01,+0.03,1189100
08/16/2021,29.18,29.67,28.96,28.99,0.2,+0.69,1284800
08/13/2021,27.87,28.81,27.835,28.79,1.24,+4.50,2081600
08/12/2021,27.43,27.62,27.05,27.55,-0.08,-0.29,1984200
08/11/2021,27.59,28.07,27.21,27.63,-0.08,-0.29,2747300
08/10/2021,28.21,28.27,27.6954,27.71,-0.38,-1.35,1758700
08/09/2021,28.62,28.845,28.08,28.09,-0.33,-1.16,1969400
08/06/2021,28.74,28.98,28.35,28.42,-1.49,-4.98,3095000
08/05/2021,30.19,30.28,29.74,29.91,-0.45,-1.48,1441600
08/04/2021,30.63,30.82,29.56,30.36,0.18,+0.60,1886600
08/03/2021,30.18,30.47,29.97,30.18,0.07,+0.23,1759700
08/02/2021,29.42,30.46,29.27,30.11,0.75,+2.55,2322500
07/30/2021,29.14,29.47,29.1,29.36,0.41,+1.42,2846700
07/29/2021,28.94,29.18,28.78,28.95,-0.49,-1.66,1489400
07/28/2021,28.88,29.445,28.67,29.44,-0.01,-0.03,2377600
07/27/2021,29.27,29.47,29.065,29.45,0.9,+3.15,1973300
07/26/2021,29.09,29.115,28.43,28.55,-0.26,-0.90,1475900
